,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales,clusters
0,1659,1961,530,66490,1
1,1461,1752,210,39820,1
2,1340,1609,720,54010,3
3,1451,1748,620,53730,1
4,1770,2111,450,46620,1
5,1442,1733,760,45260,3
6,1542,1858,1030,72240,2
7,1261,1507,1020,37720,3
8,1090,1321,680,46310,3
9,1030,1235,1130,44150,3
10,1187,1439,1090,71280,2
11,1751,2098,720,57620,0
12,1746,2064,1050,60470,2
13,1615,1931,1160,59130,2
14,1469,1756,770,66360,2
15,1644,1950,790,78870,0
16,1578,1907,1440,77250,2
17,1703,2045,670,38170,1
18,1438,1731,1030,63540,2
19,1940,2340,980,40190,0
20,1421,1700,370,43460,1
21,1458,1746,690,68890,1
22,1719,2065,950,52780,2
23,1449,1752,620,50680,1
24,1234,1488,840,41880,3
25,1732,2073,820,70050,0
26,1475,1777,1100,25820,3
27,1390,1648,980,60530,2
28,1642,1943,710,78100,0
29,1715,2071,650,84860,0
30,1439,1746,990,80140,2
31,1250,1508,990,14920,3
32,1331,1608,880,60460,2
33,1784,2163,620,74560,0
34,1375,1648,1020,72430,2
35,1871,2230,700,45460,1
36,1442,1744,610,41570,1
37,1174,1411,1080,62870,2
38,1839,2204,1010,55170,0
39,1270,1516,10,45480,1
40,1435,1725,1250,49550,2
41,965,1152,600,48140,3
42,1665,2001,730,67640,0
43,1780,2117,780,39730,1
44,1009,1194,520,35800,3
45,1227,1471,870,49270,3
46,1769,2087,690,66510,0
47,1660,1982,910,62530,0
48,1472,1776,1260,59980,2
49,1408,1688,1040,76350,2
50,1514,1820,910,81820,0
51,1565,1880,1300,57830,2
52,1074,1288,320,70450,1
53,1864,2240,530,67000,0
54,1570,1898,980,64090,2
55,1417,1701,740,48670,3
56,1734,2060,1240,66210,2
57,1470,1763,1080,83660,2
58,1761,2104,1080,70770,0
59,1756,2070,460,53870,1
60,1704,2045,300,71300,1
61,2011,2391,530,46100,1
62,1472,1748,600,49100,1
63,1310,1561,860,65920,2
64,1544,1821,590,58660,1
65,1707,2052,920,69130,0
66,1881,2262,570,49080,1
67,1416,1681,290,72710,1
68,1631,1941,650,33430,1
69,1318,1576,710,42430,3
70,1692,2019,850,56650,0
71,1152,1380,530,33580,3
72,891,1073,630,67370,3
73,1468,1749,700,71780,0
74,1539,1833,650,84840,0
75,1635,1956,720,82070,0
76,1267,1520,450,26770,3
77,1250,1475,1390,65560,2
78,1720,2044,960,38660,2
79,1462,1761,600,65660,1
80,1431,1711,620,40700,1
81,1539,1858,1020,88910,0
82,1441,1723,330,57860,1
83,1572,1884,1410,42670,2
84,1287,1525,1200,90180,2
85,1468,1760,280,51280,1
86,1931,2342,940,97260,0
87,1252,1506,850,39650,3
88,1238,1468,960,45720,3
89,1479,1758,420,42060,1
90,1590,1912,830,65350,0
91,2169,2617,600,67080,0
92,1838,2205,400,54030,1
93,1385,1655,760,56360,3
94,1921,2305,1470,77120,2
95,1975,2385,500,50810,1
96,1853,2235,1120,60960,2
97,1816,2171,1160,61180,2
98,1785,2147,820,63660,0
99,1579,1899,1140,41190,2
100,1096,1321,900,78420,2
101,1919,2294,760,65580,0
102,1262,1500,1170,89080,2
103,1374,1655,1080,94170,2
104,1309,1587,1000,50950,2
105,1207,1434,690,65180,3
106,1692,2031,810,69310,0
107,1929,2311,630,79210,0
108,1573,1878,650,23740,3
109,1415,1700,920,36330,3
110,1162,1382,1260,51700,2
111,1485,1787,800,62950,2
112,1897,2248,1330,56010,2
113,1607,1927,940,45080,2
114,1909,2287,1210,46830,2
115,1274,1503,660,64750,1
116,1157,1379,770,80780,2
117,1712,2046,460,31180,1
118,1500,1798,860,56710,2
119,1682,2017,780,49390,1
120,1441,1727,890,66000,2
121,1525,1835,900,32770,3
122,1408,1669,530,46580,1
123,1947,2333,790,79780,0
124,1164,1390,370,35510,3
125,1787,2137,610,80970,0
126,1871,2241,500,61150,0
127,1718,2051,750,49210,1
128,1365,1636,980,79950,2
129,1368,1654,530,68740,1
130,1342,1595,910,57480,2
131,1076,1270,620,72630,3
132,1396,1672,1170,50070,2
133,1713,2071,900,40490,1
134,1370,1638,980,51850,2
135,1667,1993,740,42840,1
136,1638,1972,810,60940,0
137,1581,1905,810,62280,0
138,1795,2187,300,76530,0
139,1179,1412,790,85130,2
140,1978,2374,800,48590,0
141,1688,2042,760,73080,0
142,1214,1456,530,48950,3
143,1504,1805,540,48560,1
144,1498,1770,620,59380,1
145,1462,1762,1010,51190,2
146,1442,1750,130,58920,1
147,1250,1486,730,50360,3
148,1229,1480,830,38070,3
149,1936,2300,1060,49170,0
150,1369,1629,770,39740,3
151,1662,1986,70,63730,1
152,1548,1855,670,85330,0
153,1649,1963,490,27410,1
154,1393,1663,670,37320,3
155,1450,1734,380,71120,1
156,1613,1921,1200,72800,2
157,1408,1696,350,34410,1
158,775,932,1090,42530,3
159,1275,1534,1230,54300,2
160,1740,2078,680,50780,1
161,1372,1657,580,45020,1
162,1414,1723,680,69600,1
163,2044,2474,340,80340,0
164,1823,2176,700,37810,1
165,955,1133,580,46140,3
166,1465,1763,680,99570,0
167,1331,1606,630,38650,3
168,1232,1487,860,49800,3
169,1481,1765,490,69910,1
170,1343,1599,870,44910,3
171,1539,1837,990,78470,2
172,1007,1207,670,47460,3
173,1762,2145,490,33460,1
174,1527,1832,580,44090,1
175,1356,1619,700,42620,3
176,1536,1848,670,69450,0
177,1605,1902,390,73120,1
178,1704,2032,590,48300,1
179,1626,1941,1350,58090,2
180,1612,1939,840,74250,0
181,1174,1396,1100,40930,3
182,1923,2339,950,70930,0
183,1702,2053,950,64670,0
184,1398,1692,650,77420,0
185,1437,1717,230,32330,1
186,1524,1796,1060,41080,2
187,1660,1985,1180,42860,2
188,1302,1569,710,68450,1
189,1666,2000,480,39730,1
190,1391,1649,810,83750,0
191,1778,2148,1140,69940,2
192,1462,1770,1070,67710,2
193,1751,2115,790,67360,0
194,1652,1982,690,52460,1
195,1841,2215,610,88760,0
196,1496,1791,1240,67030,2
197,1504,1827,840,78230,0
198,1524,1808,460,62270,1
199,1148,1371,940,49760,3
200,1468,1744,590,73660,1
201,1310,1558,890,72320,2
202,1321,1579,770,68890,2
203,992,1192,900,34180,3
204,1540,1857,1020,58260,2
205,1807,2149,910,38120,1
206,1526,1853,660,49070,1
207,1406,1677,480,61660,1
208,1703,2055,1080,37830,2
209,1575,1872,690,52270,1
210,1309,1572,510,52280,1
211,1488,1807,1030,70810,2
212,1658,1988,370,71530,1
213,1863,2245,640,77260,0
214,1458,1725,750,75550,0
215,1604,1909,370,33730,1
216,1575,1899,840,66270,0
217,1525,1829,840,55820,2
218,1451,1737,890,68430,2
219,1390,1687,620,73990,1
220,1442,1742,310,62800,1
221,1620,1922,550,33740,1
222,1251,1527,380,63830,1
223,1318,1606,1200,24410,3
224,1647,1962,800,70020,0
225,1829,2175,870,92240,0
226,1852,2227,1220,68230,2
227,1699,2053,1080,81870,0
228,1325,1595,540,73860,1
229,1350,1634,880,77120,2
230,1347,1628,120,72350,1
231,1397,1661,1410,49160,2
232,1245,1499,570,45650,3
233,1366,1649,940,52780,2
234,1378,1658,760,90960,0
235,1767,2110,1200,64950,2
236,1184,1434,670,47230,3
237,1257,1505,950,83250,2
238,1863,2247,480,51950,1
239,1881,2244,920,66030,0
240,1329,1609,1150,68590,2
241,1539,1848,750,47140,1
242,1557,1861,370,69940,1
243,2007,2397,610,65890,0
244,1185,1418,1150,89310,2
245,1657,2003,1070,58540,2
246,1294,1539,790,78130,2
247,1296,1559,1070,92300,2
248,1733,2097,730,56170,1
249,1641,1976,620,46050,1
250,1373,1648,530,43390,1
251,1550,1845,700,61750,1
252,1583,1907,680,21830,3
253,1428,1719,1060,39800,3
254,1604,1925,670,54370,1
255,1439,1735,400,62470,1
256,1648,2003,910,82930,0
257,1025,1231,760,63720,3
258,2001,2394,540,79180,0
259,1145,1370,350,38210,3
260,1174,1426,980,25950,3
261,913,1106,860,56610,3
262,1199,1433,1020,73710,2
263,1875,2254,1120,70400,0
264,1153,1397,1020,50440,3
265,1240,1492,940,66840,2
266,1381,1660,970,50170,2
267,1701,2030,830,60140,0
268,1206,1456,920,37130,3
269,1476,1777,660,42890,1
270,1189,1439,780,26220,3
271,1837,2220,340,50840,1
272,1319,1571,1190,25630,3
273,1617,1901,490,60770,1
274,1631,1967,1090,69600,2
275,1517,1805,1040,41740,2
276,1764,2109,1210,50130,2
277,1572,1869,1030,21750,3
278,1855,2197,1170,80490,0
279,1327,1571,730,34020,3
280,1270,1515,720,60240,3
281,1734,2073,500,39460,1
282,1533,1848,1070,56440,2
283,1390,1646,800,46840,3
284,1856,2216,1020,64820,0
285,1000,1215,1070,52520,3
286,1313,1586,420,45940,1
287,1494,1799,510,38970,1
288,1386,1674,1210,58610,2
289,1979,2364,660,30810,1
290,1057,1264,360,47730,3
291,902,1093,1210,64640,2
292,1347,1622,560,44860,1
293,1314,1576,360,55660,1
294,1513,1803,970,57530,2
295,1305,1548,480,75200,1
296,1180,1436,690,37330,3
297,1142,1352,710,35280,3
298,1471,1768,780,70610,0
299,1075,1288,630,49720,3
300,1578,1885,220,68850,1
301,1585,1916,1110,50740,2
302,1391,1648,720,77070,0
303,1577,1892,560,74730,0
304,1092,1314,600,76530,1
305,1375,1681,440,68900,1
306,1523,1813,520,44960,1
307,1373,1654,410,41490,1
308,1550,1871,590,74320,0
309,1614,1946,740,73800,0
310,1566,1889,610,56400,1
311,2019,2396,540,71570,0
312,1494,1806,1450,43640,2
313,1659,2008,620,35120,1
314,1766,2131,340,58670,1
315,1293,1554,970,75800,2
316,1375,1659,1080,76640,2
317,1236,1484,560,31890,3
318,1332,1586,630,61670,1
319,1513,1825,980,75950,2
320,1208,1459,930,41490,3
321,1190,1429,470,66170,1
322,1448,1734,680,37980,3
323,1771,2147,430,62710,1
324,1365,1645,830,60470,2
325,1510,1810,950,35230,3
326,1458,1736,870,48550,3
327,1808,2157,730,56810,0
328,1615,1954,760,41080,1
329,1640,1948,960,51270,2
330,1060,1273,860,57500,3
331,1633,1968,330,81470,0
332,1222,1473,630,49570,3
333,1619,1957,1280,45580,2
334,1624,1973,1440,44660,2
335,1887,2278,570,76240,0
336,1320,1583,540,43720,3
337,1450,1750,480,46700,1
338,1455,1764,390,84690,0
339,966,1172,900,85470,2
340,1922,2290,290,80410,0
341,1678,1999,740,46650,1
342,1638,1952,690,81840,0
343,1145,1375,950,63590,2
344,2004,2390,930,50130,0
345,1954,2378,810,45820,0
346,1577,1879,760,86710,0
347,1766,2138,580,49980,1
348,1362,1634,770,82940,0
349,1886,2228,1530,40350,2
350,1291,1546,420,93950,0
351,1584,1897,1210,47310,2
352,1397,1686,850,21300,3
353,1445,1709,1340,62180,2
354,1433,1707,1160,61460,2
355,1269,1511,500,54360,1
356,1798,2134,820,72050,0
357,1514,1822,670,48090,1
358,1015,1216,460,27310,3
359,1495,1799,950,57160,2
360,1759,2095,980,34190,2
361,1219,1468,850,35600,3
362,1571,1877,580,54670,1
363,1404,1670,620,76730,0
364,1124,1369,650,63540,3
365,1514,1837,1130,36690,2
366,1207,1476,720,87370,2
367,1484,1774,940,59800,2
368,1398,1678,920,48030,3
369,1769,2112,660,96650,0
370,1111,1322,610,65500,3
371,1078,1305,1190,55530,2
372,1876,2254,1340,21650,2
373,1909,2306,820,31940,1
374,1940,2343,1130,84690,0
375,1391,1683,890,68390,2
376,1496,1774,810,75490,0
377,1412,1699,680,39200,3
378,1121,1345,320,85670,1
379,1691,2026,700,60530,0
380,1599,1946,940,78090,0
381,1208,1467,910,50720,3
382,1454,1737,870,23090,3
383,1555,1881,1260,91360,2
384,1554,1852,440,48120,1
385,1491,1800,980,75620,2
386,1415,1697,1200,39420,2
387,1487,1801,890,51130,2
388,1339,1589,1050,33890,3
389,1320,1562,610,87170,0
390,1509,1799,960,38600,3
391,1406,1680,860,60980,2
392,1264,1502,800,79410,2
393,1905,2280,1060,82350,0
394,1209,1464,600,36740,3
395,1546,1829,380,27720,1
396,1689,2044,1140,32260,2
397,1153,1381,730,53270,3
398,2063,2493,810,51480,0
399,1848,2254,1000,59970,0
400,1718,2056,1220,83600,2
401,1480,1773,360,63020,1
402,1439,1724,900,50920,2
403,1576,1896,750,56450,1
404,1948,2374,930,89540,0
405,1613,1893,1180,46030,2
406,896,1059,870,75110,2
407,1625,1943,680,74520,0
408,1303,1587,1310,102310,2
409,1340,1605,1000,53400,2
410,1410,1704,1130,59760,2
411,1432,1719,990,49540,2
412,1891,2280,360,51560,1
413,1322,1583,720,49510,3
414,1378,1670,950,58610,2
415,1462,1732,840,68260,2
416,1440,1733,1120,65310,2
417,1421,1724,920,52090,2
418,1280,1530,1240,43860,2
419,1431,1710,840,74170,2
420,1161,1404,430,58380,1
421,1175,1405,810,91200,2
422,1395,1662,920,90940,2
423,1443,1755,880,49330,3
424,1247,1523,1350,53500,2
425,1788,2133,1000,54590,2
426,1138,1375,1220,57450,2
427,1709,2042,430,33240,1
428,1777,2145,520,80790,0
429,1612,1918,580,61000,1
430,1618,1943,460,47620,1
431,1311,1571,470,72090,1
432,1365,1638,680,102920,0
433,1249,1503,950,61970,2
434,1373,1635,840,61040,2
435,1536,1836,990,52060,2
436,1744,2101,520,69570,0
437,1513,1820,520,66020,1
